id          fileSize | totalSize f1 f2 f3 f4 f5 f6 f7 f8 f9 f10
0000065798      4097 |      4097   711   331   104    56    44     3   741    13   331 79618
0000065799      6819 |      6819   998   331   104    56    44     3  1083    19   331 79618
0000065800     12834 |     12834  1452  1286   104    83   101     3  1615    19  1286 291842
0000065801      1574 |      1574   131   131     0    14    13     3  2125    24   131 24323
0000065802       947 |       947   131   131     0    14    13     3  1955    22   131 24323
0000065803       455 |       455   131   131     0    14    13     3   850     9   131 24323
0000065804      2112 |      2112   415   415   104    25    26     3   568     8   415 65539
0000065805      1740 |      1740   466   466   104    37    39     3   210     5   466 102659
0000065806      1382 |      1382   397   397   104    41    34     3   210     5   397 84739
0000065807      1446 |      1446   403   403   104    41    34     3   210     5   403 83715
0000065808      1784 |      1784   493   493   104    37    39     3   210     5   493 108547
0000065809      3222 |      3222   661   661   104    33    45     3   781    11   661 137219
0000065810      2990 |      2990   529   508   104    56    23     3   781    11   508 99331
0000065811      2638 |      2638   458   458   104    56    23     3   781    11   458 85763
0000065812      3447 |      3447   721   721   104    33    45     3   781    11   721 154115
0000065813      1177 |      1177   369   369   104    46    21     3   355     5   369 69123
0000065814      1170 |      1170   404   404   104    18    40     3   355     5   404 77827
0000065815      1158 |      1158   399   399   104    18    40     3   355     5   399 76035
0000065816      1205 |      1205   399   399   104    46    21     3   355     5   399 75523
0000065817       582 |       582   314   314   104    39    13     3   355     5   314 61955
0000065818       632 |       632   336   336   104    17    38     3   355     5   336 68099
0000065819       713 |       713   355   355   104    17    38     3   355     5   355 71427
0000065820       527 |       527   270   270   104    39    13     3   355     5   270 50947
0000065821      4089 |      4089   589   589   104    33    45     3   639     9   589 125187
0000065822      3146 |      3146   434   434   104    54    20     3   639     9   434 81923
0000065823      3215 |      3215   430   430   104    54    20     3   639     9   430 82179
0000065824      4710 |      4710   664   664   104    33    45     3   639     9   664 144387
0000065825      2675 |      2675   696   696   104    33    44     3   355     5   696 156163
0000065826      3176 |      3176   679   679   104    53    27     3   355     5   679 147971
0000065827      2581 |      2581   584   584   104    53    27     3   355     5   584 122627
0000065828      2446 |      2446   738   738   104    33    44     3   355     5   738 169731
0000065829      1019 |      1019   304   304   104    19    18     3  1420    20   304 42243
0000065830      1891 |      1891   517   517   104    20    38     3  1633    23   517 101123
0000065831     17973 |     17973  1857  1577   104    55    81     3  2805    33  1577 366339
0000065832     23657 |     23657  1827  1579   104    55    91     3  3060    36  1579 366851
0000065833     13929 |     13929  1523  1364   104    87    63     3  2805    33  1364 319235
0000065834     21923 |     21923  1575  1368   104   104    63     3  3060    36  1368 319747
0000065835     21942 |     21942  1575  1368   104   104    63     3  3060    36  1368 319747
0000065836     13945 |     13945  1523  1368   104    87    63     3  2805    33  1368 319747
0000065837     21261 |     21261  1603  1432   104    55    63     3  3060    36  1432 342019
0000065838     16975 |     16975  1763  1428   104    55    62     3  2805    33  1428 341507
0000065839     91465 |     91465  4383    24     0   276   120     3  2272    32    24  2306
0000065840      2171 |      2171   998   102    40    78    61     3   497     7   102 17154
0000065841     13990 |     13990  1180  1180   255   122    13     3  4473    62  1180 268290
0000065842      8351 |      8351   610   610   240    95    11     3  3800    37   610 148738

== Per-field unique-value summary (top 8 of each) ==
  field[ 0] unique=  127  top=[(1612, 2), (2120, 2), (1784, 2), (2013, 1), (39719, 1), (3380, 1), (2426, 1), (2614, 1)]
  field[ 1] unique=   90  top=[(1476, 8), (962, 6), (1407, 4), (1398, 4), (3033, 4), (1497, 4), (517, 4), (561, 3)]
  field[ 2] unique=   85  top=[(1476, 8), (331, 7), (24, 5), (1497, 5), (962, 5), (1407, 4), (1398, 4), (517, 4)]
  field[ 3] unique=   12  top=[(104, 103), (0, 8), (2, 5), (41, 2), (10, 2), (4294967295, 2), (244, 2), (6, 2)]
  field[ 4] unique=   47  top=[(55, 28), (54, 11), (56, 8), (66, 6), (33, 6), (116, 5), (52, 4), (133, 4)]
  field[ 5] unique=   50  top=[(43, 16), (62, 9), (55, 8), (44, 8), (94, 6), (13, 6), (114, 5), (53, 5)]
  field[ 6] unique=    1  top=[(3, 130)]
  field[ 7] unique=   42  top=[(355, 13), (1275, 12), (426, 9), (378, 8), (2201, 8), (639, 7), (568, 6), (2805, 6)]
  field[ 8] unique=   32  top=[(5, 17), (8, 15), (15, 13), (20, 9), (31, 9), (6, 9), (9, 8), (11, 5)]
  field[ 9] unique=   85  top=[(1476, 8), (331, 7), (24, 5), (1497, 5), (962, 5), (1407, 4), (1398, 4), (517, 4)]
  field[10] unique=   88  top=[(376577, 8), (79618, 6), (2306, 5), (321539, 5), (196354, 5), (358913, 4), (356609, 4), (96259, 3)]

Files inspected: 130
